date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:49	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Nov%202021%2012:46:52%20GMT	https://rubykrafts.fluffyair.repl.co/robots.txt		(from )
13:46:49	6443/6443	---M--	200	added ('OK')	text/html	date:Fri,%2019%20Nov%202021%2012:46:53%20GMT	https://rubykrafts.fluffyair.repl.co/	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/index.html	(from )
13:46:50	155759/155759	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Nov%202021%2012:46:54%20GMT	https://rubykrafts.fluffyair.repl.co/css/bootstrap.min.css	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/css/bootstrap.min.css	(from https://rubykrafts.fluffyair.repl.co/)
13:46:51	4289/4289	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Nov%202021%2012:46:54%20GMT	https://rubykrafts.fluffyair.repl.co/css/main.css	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/css/main.css	(from https://rubykrafts.fluffyair.repl.co/)
13:46:51	179721/179721	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Nov%202021%2012:46:55%20GMT	https://rubykrafts.fluffyair.repl.co/css/now-ui-kit.css	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/css/now-ui-kit.css	(from https://rubykrafts.fluffyair.repl.co/)
13:46:51	9405/9405	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Nov%202021%2017:25:47%20GMT	https://media.discordapp.net/attachments/903758856809758741/910219111282397204/unnamed.png?width=337&height=369	D:/Programs/Meine%20Websiten/hujoziulil/media.discordapp.net/attachments/903758856809758741/910219111282397204/unnamed243f.png	(from https://rubykrafts.fluffyair.repl.co/)
13:46:52	10097/10097	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Nov%202021%2012:46:56%20GMT	https://rubykrafts.fluffyair.repl.co/image/footer.png	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/image/footer.png	(from https://rubykrafts.fluffyair.repl.co/)
13:46:53	6443/6443	---M--	200	added ('OK')	text/html	date:Fri,%2019%20Nov%202021%2012:46:56%20GMT	https://rubykrafts.fluffyair.repl.co/index.html	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/index-2.html	(from https://rubykrafts.fluffyair.repl.co/)
13:46:54	496575/496575	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Nov%202021%2012:46:57%20GMT	https://rubykrafts.fluffyair.repl.co/image/games1.png	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/image/games1.png	(from https://rubykrafts.fluffyair.repl.co/)
13:46:54	12923/12923	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Nov%202021%2012:46:57%20GMT	https://rubykrafts.fluffyair.repl.co/image/pfp2.png	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/image/pfp2.png	(from https://rubykrafts.fluffyair.repl.co/)
13:46:55	295424/295424	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Nov%202021%2012:46:58%20GMT	https://rubykrafts.fluffyair.repl.co/image/pfp3.png	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/image/pfp3.png	(from https://rubykrafts.fluffyair.repl.co/)
13:46:55	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	D:/Programs/Meine%20Websiten/hujoziulil/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://rubykrafts.fluffyair.repl.co/)
13:46:56	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	D:/Programs/Meine%20Websiten/hujoziulil/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://rubykrafts.fluffyair.repl.co/)
13:46:56	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	D:/Programs/Meine%20Websiten/hujoziulil/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://rubykrafts.fluffyair.repl.co/)
13:46:57	4483/4483	---M--	200	added ('OK')	text/javascript	date:Fri,%2019%20Nov%202021%2012:47:00%20GMT	https://rubykrafts.fluffyair.repl.co/js/now-ui-kit.min.js	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/js/now-ui-kit.min.js	(from https://rubykrafts.fluffyair.repl.co/)
13:46:57	240077/240077	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Nov%202021%2012:47:01%20GMT	https://rubykrafts.fluffyair.repl.co/image/bg.jpg	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/image/bg.jpg	(from https://rubykrafts.fluffyair.repl.co/css/main.css)
13:46:58	2639/2639	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2019%20Nov%202021%2012:47:02%20GMT	https://rubykrafts.fluffyair.repl.co/assets/wavy-light-by-madness.svg	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/assets/wavy-light-by-madness.svg	(from https://rubykrafts.fluffyair.repl.co/css/main.css)
13:46:58	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Nov%202021%2012:47:02%20GMT	https://rubykrafts.fluffyair.repl.co/fonts/nucleo-outline.eot	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/fonts/nucleo-outline.f.delayed	(from https://rubykrafts.fluffyair.repl.co/css/now-ui-kit.css)
13:46:59	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Nov%202021%2012:47:03%20GMT	https://rubykrafts.fluffyair.repl.co/fonts/nucleo-outline.woff2	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/fonts/nucleo-outline.10.delayed	(from https://rubykrafts.fluffyair.repl.co/css/now-ui-kit.css)
13:47:00	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Nov%202021%2012:47:03%20GMT	https://rubykrafts.fluffyair.repl.co/fonts/nucleo-outline.woff	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/fonts/nucleo-outline.11.delayed	(from https://rubykrafts.fluffyair.repl.co/css/now-ui-kit.css)
13:47:00	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Nov%202021%2012:47:04%20GMT	https://rubykrafts.fluffyair.repl.co/fonts/nucleo-outline.ttf	D:/Programs/Meine%20Websiten/hujoziulil/rubykrafts.fluffyair.repl.co/fonts/nucleo-outline.12.delayed	(from https://rubykrafts.fluffyair.repl.co/css/now-ui-kit.css)
